federation_code,first_name,last_name,no,nationality,gender
JAM,"Magnum ""Slow Speed""",Taylor,100641,,0
MEX,Rafael,Garcia Lopez,100642,,0
MEX,Juan Alberto,Rodriguez Ibarra,100643,,0
RUS,Dmitry,Karasev,100644,,0
SAM,Masui,Allen,100645,,0
SAM,Ala,Mikaele,100646,,0
AUT,Oliver,Stamm,100647,,0
ISV,Terry,Stevens,100648,,0
ISV,Stephen,Miller,100649,,0
CZE,Igor,Stejskal,100650,,0
CZE,Petr,Chromy,100651,,0
RUS,Dmitry,Areshkin,100652,,0
RUS,Alexander,Razin,100653,,0
RUS,Boris,Lupachev,100654,,0
RUS,Sergei,Molchanov,100655,,0
USA,"Brian ""Lewy""",Lewis,100656,,0
USA,Ricci,Luyties,100657,,0
RUS,Sergei,Orlov,100658,,0
ESP,Josè Ramon,Cubillo,100659,,0
ESP,Anton,Santos,100660,,0
ESP,Celso,Garcia,100661,,0
ESP,David,Llop,100662,,0
ESP,"José Gregorio  Luis ""Yoyi""",Rodriguez,100663,,0
ESP,Jorge,Rodriguez Marrero,100664,,0
LAT,Dmitrijs,Osokins,100665,,0
LAT,Jurijs,Vlasovs,100666,,0
AUS,Michael,Reu,100667,,0
AUS,"Lee ""Leo""",Zahner,100668,,0
SUI,Daniel,Stauffer,100669,,0
SUI,Sascha,Heyer,100670,,0
SUI,Marianne,Bolinger,100671,,1
USA,Danalee,Bragado,100672,,1
POL,Robert,Glogowski,100673,,0
POL,Pawel,Kadlubowski,100674,,0
CUB,Juan Miguel,Rossell Milanes,100675,,0
CUB,"Francisco ""Francis""",Alvarez Cutiño,100676,,0
AUT,Herwig,Holzer,100677,,0
AUT,Christian,Noisternig,100678,,0
NED,Edger,Tinkhof,100679,,0
NED,Willem-Jan,Verhoef,100680,,0
CRC,Alexander,Villegas Gonzalez,100681,,0
CRC,Zlatko Crespo,Piskulich,100682,,0
RSA,"Craig ""P.C. The Kid""",Watkins,100683,,0
URU,Waldemar Javier,Gonzalez,100684,,0
BRA,Ana Maria,Richa Medeiros,100685,,1
USA,Sarah,Straton,100686,,1
CZE,Michaela,Curinova,100687,,1
CZE,Eva,Krcova,100688,,1
RUS,Tatyana,Makarova,100689,,1
RUS,Tatyana,Romanovskaya,100690,,1
USA,"Anna Karolyna ""Karrie""",Poppinga,100692,,1
RSA,Beverley,Peters,100693,,1
RSA,"Rosemary or Rose ""The Bud""",Thompson,100694,,1
AUS,Andrew,Schacht,100695,,0
URU,Leonardo Dante,Lattuada,100696,,0
URU,Javier Alfonso,Fontenla Di Landro,100697,,0
USA,Bill,Boullianne,100698,,0
