name,no
Rado/Litva,882
Babich/Khudoley,883
Östberg/Gustafson,884
Klemperer/Koreng,885
Rosas/Pedrosa,886
Brink/Schneider K.,887
Ronnes/De Gruijter,888
Herrera/Mesa,889
Matysik/Popp,890
Kröger/Rademacher,891
Dyachenko/Kulinich,892
Salvetti/Molinier,893
Pitman/Lochhead,894
Hiebert/Reader,895
Nishimura/Yamamoto,896
Asahi/Watanabe,897
Hata/Aoki,898
Polte/Schoen,899
Byron/Suan,900
Lyne/Bourne,901
Huth/Uhmann,902
Mourtzios/Knapek,903
Krug/Urbatzka,904
Gibb/Metzger,905
Acco/Luizão,906
Chiya/Masinga,907
Wu/Yin,908
Ellingson/Montgomery,909
Llenas/Da Silva,910
Franco/Cunha,911
Heese/Cadieux,912
Maaseide/Horrem,913
Conde/Baracetti,914
Kjemperud/Skarlund,915
Rogers/Dalhausser,916
Emanuel/Ricardo,917
Maia/Brenha,918
Laciga P./Laciga M.,919
Pará/Jan,920
Dobeiner/Göttlinger,921
Alvarez/Munder,922
Schacht/Slack,923
Berger N./Nowotny,924
Kais Kr./Vesik,925
Deulofeu/Salvetti,926
Berg /Brinkborg,927
Hoidalen/Goranson K.,928
Lione/Varnier,929
Leinemann/Van Huizen,930
Kubala/Pavlas,931
Doppler/Gartmayer,932
Harley/Pedro Solberg,933
Indra/Wachter,934
Heuscher/Heyer,935
Pedrosa/Rosas,936
Hernandez Colina/Henriquez,937
Amore/Bizzotto,938
Scott/Fuerbringer,939
Svensson R./Magnusson M.,940
Barsuk/Kolodinskiy,941
Boersma E./Ronnes,942
Nausch/Müller R.,943
"Soderberg/Hoyer, A.",944
Michalopoulos/Xenakis,945
Babich/Nikolaev,946
Fenili/Fortunato,947
Klemperer/Koreng,948
Reckermann/Urbatzka,949
Brink/Dieckmann Ch.,950
Herrera/Mesa,951
Biza/Lebl,953
Matysik/Uhmann,954
Zabuslayev/Sidorenko,955
Trimcevski/Peric,956
Rademaker/Hoiskamp,957
Arkaev/Bogatov,958
Horst/Gosch,959
Schnider/Gscheidle,960
Nishimura/Watanabe,961
Asahi/Shiratori,962
Richardson/Kapa,963
Kolar/Tichy,964
Xu/Wu,965
Ontiveros/Ontiveros,966
Huth/Schneider K.,967
Koshkarev/Prokopiev,968
"Huber, A./Bläuel",969
Smedins T./Smedins,970
Fabio Luiz/Marcio Araujo,971
Binstock/Redmann,972
De Gruijter/Ronnes,973
Gabathuler/Wenger,974
Beck/Bleiker,975
Patriarca/Desiderio,976
Saulko/Rovkin,977
Samoilovs/Plavins,978
Hakala/Kankaanpää,979
Hupfer/Schroffenegger P.,980
Kaczmarek/Krug,981
Backhaus/Götz,982
Virgen/Miramontes,983
Gibb/Rosenthal,984
Montgomery/J.Kruger,985
Lochhead/Pitman,986
Apicella/Passoni,987
Bruno/Benjamin,988
Dugrip/Gagliano,989
Lambert/Metzger,990
Cès A./Cès K.,991
Ortiz/Lario,992
Freidenfelds/Freidenfelds,993
Schuil/Nummerdor,994
Erdmann/Windscheif,995
Lelliott/Reader,996
Richtarik S./Richtarik R.,997
Bizzotto/Cicola,998
Zhou/Li,999
Geor/Gia,1000
Kulinich/Dyachenko,1001
Plachy/Barta,1002
Kern/Lammens,1003
Jadot F./Jadot C.,1004
Hermans/Rosiers,1005
Ring/Wong,1006
Mowrey/Kimo,1007
Franco/Cunha,1008
Heese/Cadieux,1009
Maaseide/Horrem,1010
Kjemperud/Skarlund,1011
Rogers/Dalhausser,1012
Maia/Brenha,1013
Laciga M./Schnider,1014
Heyer/Heuscher,1015
Alvarez/Ramirez Bernal,1016
Schacht/Slack,1017
Kais Kr./Vesik,1018
Deulofeu/Salvetti,1019
Berg /Brinkborg,1020
Hoidalen/Goranson K.,1021
Lione/Varnier,1022
Ricardo/Emanuel,1023
Fernandes/Abreu,1024
Augoustides/Flisberg,1025
Baracetti/Salema,1026
Kubala/Pavlas,1027
Doppler/Gartmayer,1028
Marcio Araujo/Fabio Luiz,1029
Harley/Pedro Solberg,1030
